,Team,Position,Rank,PLAYER_NAME,Report,Impact
265,Milwaukee Bucks,C,14,John Henson,,
266,New Orleans Pelicans,PG,0,Norris Cole,Norris Cole (back) has been ruled out for Wednesday's game against the Timberwolves.,"Cole lasted just 45 games during the 2015-16 season, compiling averages of 10.6 points and 3.7 assists on 40.5 percent shooting. He's bound for free agency and it'll be interesting to see where he winds up, but as a backup point guard, he won't be worth drafting in most leagues."
267,New Orleans Pelicans,PG,1,Jrue Holiday,Pelicans head coach Alvin Gentry said Jrue Holiday is part of the Pelicans core.,"Gentry said Holiday and Anthony Davis are the core of the team moving forward and added that Holiday had a fantastic season once his minutes restriction was lifted. While Holiday didn't stay healthy this season, his injuries didn't involve his troublesome leg and his post-All Start Break averages of 21.2 points, 3.3 rebounds, 7.3 assists, 1.7 steals, and 1.7 three-pointers per game point to a breakout 2016-17 season."
268,New Orleans Pelicans,PG,2,Toney Douglas,,
269,New Orleans Pelicans,PG,3,Tim Frazier,,
270,New Orleans Pelicans,SG,4,Eric Gordon,The Pelicans likely won't make a push to re-sign Eric Gordon this summer according to John Reid of the Times-Picayune.,"Gordon hasn't been able to stay healthy throughout his career and that could really drive down his price this summer when he becomes an unrestricted free agent. Gordon broke his finger for the second time this season which required surgery, but he should be ready to go for the start of the 2016-17 campaign. He finished with averages of 15.2 points, 2.7 assists, 2.2 boards, 1.0 steals and 2.5 3-pointers."
271,New Orleans Pelicans,SG,5,Bryce Dejean-Jones,Bryce Dejean-Jones had wrist surgery on Friday and will miss the rest of the season.,"It's a tough blow, but at least he was able to pick up a contract before the injury. Dejean-Jones will be ready to go for next season, but his role is unclear. The Pelicans luckily get Eric Gordon (finger) back tomorrow, so he'll be thrust into a nice role off the bat."
272,New Orleans Pelicans,SG,6,Tyreke Evans,Pelicans coach Alvin Gentry said that Tyreke Evans (knee) struggled to learn the offense because he missed training camp.,"''We had a small sample size,'' Gentry said. ''He never had an opportunity to go through training camp. So we just rushed in, and said, 'Ok', now this is way we play. I think he had some great moments and I think he struggled some."" Evans played in just 25 games this season with averages of 15.2 points, 6.6 assists and 5.2 rebounds, but he's had three knee surgeries since May and has some serious durability concerns. He's going to be a risky pick in fantasy drafts next season."
273,New Orleans Pelicans,SF,7,Alonzo Gee,Alonzo Gee has been diagnosed with a complete tear of right proximal rectus femoris and will miss the remainder of the 2015-16 season.,"The injuries just keep piling up in New Orleans, and the Pelicans now have more injured players on the roster than healthy ones. With Gee done for the year, Dante Cunningham, Luke Babbitt and Jordan Hamilton will be logging major minutes for a Pelicans team that has been decimated by injuries, and Babbitt is worth a look in deep leagues for those seeking a 3-point specialist."
274,New Orleans Pelicans,SF,8,Dante Cunningham,,
275,New Orleans Pelicans,SF,9,James Ennis,,
276,New Orleans Pelicans,SF,10,Jordan Hamilton,,
277,New Orleans Pelicans,SF,11,Quincy Pondexter,Quincy Pondexter (knee surgery) said that he will be ready for the start of the 2016-17 season.,"""I guarantee I'll be 100 percent by training camp,"" Pondexter said. ""That's about it right now. It's gonna be a lot of work, a lot of hard work this summer. It'll be pretty [good]. I'll be well into being on the court by the time training camp comes."""
278,New Orleans Pelicans,SF,12,Luke Babbitt,,
279,New Orleans Pelicans,PF,13,Anthony Davis,"Pelicans coach Alvin Gentry said he will give Anthony Davis (knee) more opportunities to be the ""go-to guy"" next season.","""He’ll continue to grow as a player,"" Gentry said. ""He just celebrated his 23rd birthday. He wants to be great. I think you’ll see him get stronger and he’ll become a better post-up player. I think his mid-range shooting game has been great. He made 35 threes this year, after making [three] his whole career before that. I also think you’ll see him become more of a go-to guy. I think he wants to do that, and we’ll give him more opportunities for him to do that."" Davis is looking at a three-four month recovery from knee surgery and will be a risky pick in fantasy next season due to his durability concerns despite the obvious upside."
280,New Orleans Pelicans,PF,14,Ryan Anderson,Ryan Anderson (sports hernia) will miss the Pelicans' regular-season finale Wednesday vs. Minnesota.,"Injuries again have ended Anderson's season early, and he'll finish his 2015-16 campaign with averages of 17.0 points, 6.0 boards and 2.0 triples through 66 games. He's going to be an unrestricted free agent this offseason, and the prototypical stretch-four figures to earn a massive payday on the open market. He'll be worth a mid-round selection in next year's drafts, despite the injury risk."
281,New Orleans Pelicans,C,15,Omer Asik,,
282,New Orleans Pelicans,C,16,Alexis Ajinca,Alexis Ajinca (shoulder) will not play Wednesday vs. Minnesota.,"Ajinca will join 10 other Pelicans on the sidelines for Wednesday's regular-season finale, and his absence will translate to major minutes for Dante Cunningham and James Ennis. Omer Asik and Kendrick Perkins will be the only healthy centers on the roster for Wednesday's game, but even with just seven healthy players on the roster, Asik and Perkins are not great targets."
283,New Orleans Pelicans,C,17,Kendrick Perkins,,
284,New York Knicks,PG,0,Jose Calderon,Jose Calderon (quad) will not play against the Pacers on Tuesday.,"The Knicks were hoping Calderon might play again this season, but he'll now miss the regular season finale on Tuesday. Jerian Grant is likely to again start in Calderon's place and is an intriguing, low-dollar point guard play against the Pacers on Tuesday."
285,New York Knicks,PG,1,Langston Galloway,,
286,New York Knicks,PG,2,Jerian Grant,,
287,New York Knicks,PG,3,Tony Wroten,Tony Wroten believes that he will be the starting point guard for the Knicks next season.,"""Without a doubt, without a doubt,’’ Wroten said. ""I’m working hard. That’s what I want to be. That’s my mindset from here on out."" The Knicks signed Wroten to get a good look at him during the summer league, and several reports have indicated that Phil Jackson is a fan. Wroten admitted that he wasn't 100 percent when he returned from his knee injury with Philly earlier in the season which would explain his poor play, so maybe he can redeem himself next season."
288,New York Knicks,SG,4,Arron Afflalo,,
289,New York Knicks,SG,5,Sasha Vujacic,,
290,New York Knicks,SF,6,Carmelo Anthony,,
291,New York Knicks,SF,7,Lance Thomas,Lance Thomas said he would like to re-sign with the Knicks.,"""I love New York,"" Thomas said. ""I really don’t know what’s going to happen, to be honest. I love New York, I’m from the area. If it works out that way, I’d love to come back."" Thomas is set to get a significant pay raise this summer after averaging 8.2 points, 2.2 boards, 0.9 assists and 0.7 3-pointers on 44.2 percent shooting from the field and 40.4 percent from deep. The New York Post speculates that Thomas' salary could start at $4.5 million per year, but it would make a lot of sense for the Knicks to upgrade their backcourt before they do anything else."
292,New York Knicks,SF,8,Cleanthony Early,,
293,New York Knicks,PF,9,Kristaps Porzingis,Kristaps Porzingis has announced that he will not play for Latvia in the Olympics this summer.,"The Knicks were clear that their strong preference was for Porzingis to eschew international competition, so that's exactly what he's deciding to do. Instead of playing in the Olympics, Porzingis will utilize the summer to make sure his shoulder is right and train with the team, which will include an effort to work on his post game. Additionally, Porzingis hopes to add about 12 pounds and enter next season weighing around 245 pounds."
294,New York Knicks,PF,10,Derrick Williams,,
295,New York Knicks,C,11,Robin Lopez,,
296,New York Knicks,C,12,Kyle O'Quinn,,
297,New York Knicks,C,13,Kevin Seraphin,,
298,New York Knicks,C,14,Lou Amundson,,
299,Oklahoma City Thunder,PG,0,Russell Westbrook,,
300,Oklahoma City Thunder,PG,1,Cameron Payne,,
301,Oklahoma City Thunder,SG,2,Randy Foye,,
302,Oklahoma City Thunder,SG,3,Dion Waiters,,
303,Oklahoma City Thunder,SG,4,Andre Roberson,,
304,Oklahoma City Thunder,SG,5,Anthony Morrow,,
305,Oklahoma City Thunder,SF,6,Kevin Durant,,
306,Oklahoma City Thunder,SF,7,Kyle Singler,,
307,Oklahoma City Thunder,SF,8,Josh Huestis,,
308,Oklahoma City Thunder,PF,9,Serge Ibaka,,
309,Oklahoma City Thunder,PF,10,Nick Collison,,
310,Oklahoma City Thunder,PF,11,Mitch McGary,,
311,Oklahoma City Thunder,C,12,Steven Adams,,
312,Oklahoma City Thunder,C,13,Enes Kanter,,
313,Oklahoma City Thunder,C,14,Dakari Johnson,,
314,Oklahoma City Thunder,C,15,Nazr Mohammed,,
315,Orlando Magic,PG,0,Elfrid Payton,,
316,Orlando Magic,PG,1,Brandon Jennings,,
317,Orlando Magic,PG,2,CJ Watson,,
318,Orlando Magic,PG,3,Shabazz Napier,,
319,Orlando Magic,SG,4,Victor Oladipo,,
320,Orlando Magic,SG,5,Devyn Marble,,
321,Orlando Magic,SF,6,Evan Fournier,,
322,Orlando Magic,SF,7,Mario Hezonja,,
323,Orlando Magic,PF,8,Aaron Gordon,,
324,Orlando Magic,PF,9,Ersan Ilyasova,,
325,Orlando Magic,PF,10,Andrew Nicholson,,
326,Orlando Magic,C,11,Nikola Vucevic,,
327,Orlando Magic,C,12,Dewayne Dedmon,,
328,Orlando Magic,C,13,Jason Smith,,
329,Philadelphia 76ers,PG,0,Ish Smith,,
330,Philadelphia 76ers,PG,1,TJ McConnell,,
331,Philadelphia 76ers,PG,2,Kendall Marshall,,
332,Philadelphia 76ers,SG,3,Isaiah Canaan,Isaiah Canaan (torn labrum) is out for the season.,"It's a really tough blow for Canaan, who surprisingly is second in total points for the team this season. He should be on track for most of his offseason plan after a couple months off. Hollis Thompson, Robert Covington and Nik Stauskas will get more run."
333,Philadelphia 76ers,SG,4,Nik Stauskas,Nik Stauskas is a late scratch (bilateral knee soreness) on Wednesday and Kendall Marshall will start in his place.,The 76ers are really thin at shooting guard with Isaiah Canaan (shoulder) out for this game. There should be a ton of shots going to Robert Covington and Hollis Thompson tonight.
334,Philadelphia 76ers,SF,5,Robert Covington,,
335,Philadelphia 76ers,SF,6,Jerami Grant,,
336,Philadelphia 76ers,SF,7,Hollis Thompson,,
337,Philadelphia 76ers,PF,8,Nerlens Noel,,
338,Philadelphia 76ers,PF,9,Richaun Holmes,Richaun Holmes (Achilles) will not play on Tuesday vs. the Raptors or Wednesday vs. the Bulls.,"This means he will finish his rookie campaign with averages of 5.6 points, 2.6 rebounds, 0.6 assists, 0.4 steals, and 0.8 blocks in 13.8 minutes per game. He likely won't be a fantasy option next season with Joel Embiid (foot) and Dario Saric expected to join the 76ers."
339,Philadelphia 76ers,PF,10,Luka Mitrovic,,
340,Philadelphia 76ers,PF,11,Christian Wood,,
341,Philadelphia 76ers,C,12,Jahlil Okafor,"Jahlil Okafor (knee surgery) is roughly a month away from on-court activity, according to coach Brett Brown.","Brown said that Okafor's rehab is going well and it sounds like he'll be fully recovered in time for training camp. The Sixers' prized big man flirted with top-100 value on a per-game basis this season, despite averaging just 1.2 assists and 0.4 steals while shooting 68.6 percent at the FT line."
342,Philadelphia 76ers,C,13,Carl Landry,,
343,Philadelphia 76ers,C,14,Joel Embiid,76ers coach Brett Brown didn't rule out the idea of allowing Joel Embiid (foot) to play in the summer league.,"""We're still monitoring how far along he is with his injury,"" Brown said. ""I feel like as a staff [when we learn more from] the medical staff, we'll be able to make a stronger comment then."" Brown added that Embiid is ""most definitely on track with what we've been doing, physically."" We've heard several positive reports out of Philly that Embiid is making excellent progress and it appears he's still on track to be ready for the start of the 2016-17 season."
344,Philadelphia 76ers,C,15,Elton Brand,,
345,Phoenix Suns,PG,0,Eric Bledsoe,"Eric Bledsoe's knee is ""nearly fully recuperated"" according to Paul Coro of the Arizona Republic.","He had knee surgery in December to repair the torn meniscus in his left knee, but this confirms that his rehab is going well and he should be ready to go for training camp. Bledsoe said that coach Earl Watson ""was probably one of the main reasons"" he was playing so well at the beginning of the season, so he could have a solid 2016-17 campaign if he can stay healthy. The durability concerns means he should be available at a discount as well."
346,Phoenix Suns,PG,1,Ronnie Price,,
347,Phoenix Suns,PG,2,Archie Goodwin,,
348,Phoenix Suns,SG,3,Brandon Knight,Brandon Knight (hernia) said that he will be prepared to play both on and off the ball next season.,"""I’m going to be good whether on the ball or off the ball. I just know I’m going to be a better player next year. I’m prepared and ready for that,"" Knight said. ""Once I’m healthy, I’m excited about what I’ll be able to do individually and what our team will be able to do as well."" The Suns will have a crowded backcourt next season due to Devin Booker's emergence and the return of Eric Bledsoe from knee surgery, but for now Knight is still a target in the middle rounds for owners who don't mind a volatile FG percentage and high turnover rate."
349,Phoenix Suns,SG,4,Devin Booker,,
350,Phoenix Suns,SG,5,John Jenkins,,
351,Phoenix Suns,SF,6,PJ Tucker,,
352,Phoenix Suns,SF,7,TJ Warren,"T.J. Warren underwent successful surgery to repair his fractured right foot on Tuesday, and he will miss the remainder of the 2015-16 season.","Warren will now begin the rehab process, but assuming he suffers no setbacks in his recovery, he should be able to get back on the court by the time the 2016-17 season begins. P.J. Tucker has been earning 40.3 minutes per game since Warren went down to go with averages of 8.2 points, 5.0 boards, 2.5 assists, 2.2 steals and 0.8 three-pointers per game on 39.6 percent shooting, which has been good enough for late-round value in standard leagues."
353,Phoenix Suns,SF,8,Chase Budinger,,
354,Phoenix Suns,PF,9,Jon Leuer,,
355,Phoenix Suns,PF,10,Mirza Teletovic,,
356,Phoenix Suns,PF,11,Cory Jefferson,,
357,Phoenix Suns,C,12,Tyson Chandler,Tyson Chandler (concussion) has officially been ruled out for Wednesday's game against the Clippers.,"Alex Len, Mirza Teletovic and Jon Leuer will all see a minutes boost sans Chandler, with Leuer likely moving into the starting lineup. All those guys are on the radar as potential DFS targets."
358,Phoenix Suns,C,13,Alex Len,,
359,Phoenix Suns,C,14,Alan Williams,,
360,Portland Trail Blazers,PG,0,Damian Lillard,,
361,Portland Trail Blazers,PG,1,Brian Roberts,,
362,Portland Trail Blazers,SG,2,CJ McCollum,,
363,Portland Trail Blazers,SG,3,Gerald Henderson,,
364,Portland Trail Blazers,SG,4,Pat Connaughton,,
365,Portland Trail Blazers,SF,5,Al-Farouq Aminu,,
366,Portland Trail Blazers,SF,6,Allen Crabbe,,
367,Portland Trail Blazers,SF,7,Luis Montero,,
368,Portland Trail Blazers,PF,8,Moe Harkless,,
369,Portland Trail Blazers,PF,9,Meyers Leonard,"Meyers Leonard (shoulder) underwent successful surgery on Friday, and he's expected to be sidelined for the next 6-8 months.","If Leonard can't make it back until the 8-month mark, he'll be forced to miss the first couple months of the 2016-17 season. He's going to be a restricted free agent this offseason, and it'll be interesting to see where he winds up after a disappointing 2015-16 campaign."
370,Portland Trail Blazers,PF,10,Noah Vonleh,,
371,Portland Trail Blazers,PF,11,Cliff Alexander,,
372,Portland Trail Blazers,C,12,Mason Plumlee,,
373,Portland Trail Blazers,C,13,Ed Davis,,
374,Portland Trail Blazers,C,14,Chris Kaman,,
375,San Antonio Spurs,PG,0,Tony Parker,,
376,San Antonio Spurs,PG,1,Patty Mills,,
377,San Antonio Spurs,PG,2,Andre Miller,,
378,San Antonio Spurs,SG,3,Danny Green,,
379,San Antonio Spurs,SG,4,Manu Ginobili,,
380,San Antonio Spurs,SG,5,Kevin Martin,,
381,San Antonio Spurs,SG,6,Jonathon Simmons,,
382,San Antonio Spurs,SF,7,Kawhi Leonard,,
383,San Antonio Spurs,SF,8,Kyle Anderson,,
384,San Antonio Spurs,PF,9,LaMarcus Aldridge,,
385,San Antonio Spurs,PF,10,David West,,
386,San Antonio Spurs,PF,11,Boris Diaw,,
387,San Antonio Spurs,C,12,Tim Duncan,,
388,San Antonio Spurs,C,13,Boban Marjanovic,,
389,San Antonio Spurs,C,14,Matt Bonner,,
390,Sacramento Kings,PG,0,Rajon Rondo,,
391,Sacramento Kings,PG,1,Darren Collison,,
392,Sacramento Kings,SG,2,Ben McLemore,,
393,Sacramento Kings,SG,3,Marco Belinelli,"In an interview with Sky Sports Italy, Marco Belinelli discussed some of the problems that he saw in Sacramento this season.","""There wasn't a group from the start of the season,"" Belinelli said. ""[George] Karl didn't want [DeMarcus] Cousins and Cousins didn't want Karl as coach. It's pretty hard to play well in a situation like that."" Belinelli added that he saw some ""very bad stuff"" in the locker room, but it's no secret that the Kings had some chemistry issues. As for Belinelli, he still has two more years left on his deal with the Kings, but he likely won't be anything more than a 3-point specialist in fantasy next season."
394,Sacramento Kings,SG,4,James Anderson,,
395,Sacramento Kings,SG,5,Seth Curry,,
396,Sacramento Kings,SF,6,Omri Casspi,"Omri Casspi (hamstring) will not play Wednesday vs. the Rockets, as expected.","James Anderson and Ben McLemore will be the primary beneficiaries sans Casspi, with McLemore offering a bit more upside. Casspi is done for the year and belongs on the waiver wire in all leagues."
397,Sacramento Kings,SF,7,Caron Butler,,
398,Sacramento Kings,PF,8,Rudy Gay,,
399,Sacramento Kings,PF,9,Quincy Acy,,
400,Sacramento Kings,PF,10,Eric Moreland,"Eric Moreland (sore left foot) will not return to Wednesday's game, leaving the Kings with seven available players.","Moreland finishes scoreless with three rebounds and one assist in four minutes. The Kings' plan to tank tonight's game by resting nearly all of their players is working to perfection, as they trail the Rockets by 21 points mid-way through the fourth quarter."
401,Sacramento Kings,PF,11,Duje Dukan,,
402,Sacramento Kings,C,12,DeMarcus Cousins,,
403,Sacramento Kings,C,13,Willie Cauley-Stein,,
404,Sacramento Kings,C,14,Kosta Koufos,,
405,Toronto Raptors,PG,0,Kyle Lowry,,
406,Toronto Raptors,PG,1,Cory Joseph,,
407,Toronto Raptors,PG,2,Delon Wright,,
408,Toronto Raptors,SG,3,DeMar DeRozan,,
409,Toronto Raptors,SG,4,Terrence Ross,,
410,Toronto Raptors,SG,5,Norman Powell,,
411,Toronto Raptors,SF,6,DeMarre Carroll,,
412,Toronto Raptors,SF,7,James Johnson,,
413,Toronto Raptors,SF,8,Bruno Caboclo,,
414,Toronto Raptors,PF,9,Luis Scola,,
415,Toronto Raptors,PF,10,Patrick Patterson,,
416,Toronto Raptors,PF,11,Jason Thompson,,
417,Toronto Raptors,C,12,Jonas Valanciunas,,
418,Toronto Raptors,C,13,Bismack Biyombo,,
419,Toronto Raptors,C,14,Lucas Nogueira,,
420,Utah Jazz,PG,0,Shelvin Mack,,
421,Utah Jazz,PG,1,Trey Burke,,
422,Utah Jazz,PG,2,Raul Neto,,
423,Utah Jazz,PG,3,Dante Exum,Dante Exum (torn left ACL) is expected to be cleared for contact in June.,"He's be cleared for everything on the basketball court except for contact practices, so it sounds like his recovery is going as planned. Exum hasn't decided if he will play for Australia this summer during the Olympics, but it's already been decided that he will not play in the summer league as reported by Jody Genessy of Deseret News. Exum will be competing with Shelvin Mack for the starting PG role and we will be watching his development closely over the summer."
424,Utah Jazz,SG,4,Rodney Hood,,
425,Utah Jazz,SG,5,Alec Burks,Alec Burks admitted that he tried to return too soon from his leg injury this season.,"""I don’t think the leg was ready,"" Burks said. ""It was bittersweet because I couldn’t play like I usually play and I couldn’t do the things I’m accustomed to doing. I thought I was ready to play, but game speed and practice speed is totally different and I found out I couldn’t contribute like I thought I could."" Burks has had some tough luck with injuries in his five seasons in the NBA and he regressed in nearly every category this year. Hopefully the 24-year-old SG can find a way to stay healthy next season."
426,Utah Jazz,SG,6,Joe Ingles,,
427,Utah Jazz,SG,7,Chris Johnson,,
428,Utah Jazz,SF,8,Gordon Hayward,,
429,Utah Jazz,PF,9,Derrick Favors,Derrick Favors (knee) and Alec Burks (knee) will not play on Wednesday vs. the Lakers.,"This is a must-win game vs. the Jazz, so Favors must really be hurting. With Rudy Gobert (knee) also out, we can expect to see a lot of Trey Lyles and Trevor Booker tonight. Jeff Withey could get a lot of run too and may even start."
430,Utah Jazz,PF,10,Trey Lyles,,
431,Utah Jazz,PF,11,Trevor Booker,,
432,Utah Jazz,C,12,Rudy Gobert,Rudy Gobert won't play for France during the qualifying tournament for the Olympics this summer.,"""This season I had several injuries, so Jazz want me to stay in Salt Lake in June to work on my body,"" Gobert said. He did add that he will play in Rio if France qualifies, but it makes sense for the big man to get as much rest as possible after battling knee and ankle issues this season. He will be a bounce-back candidate for the 2016-17 campaign."
433,Utah Jazz,C,13,Jeff Withey,,
434,Utah Jazz,C,14,Tibor Pleiss,,
435,Washington Wizards,PG,0,John Wall,John Wall's (knee surgeries) status for training camp is currently unknown.,"He obviously won't play for Team USA this summer, but he is expected to be ready for the start of the 2016-17 season. The surgery on Wall's right knee is reportedly pretty minor and routine, but the operation on his left knee in which he had calcium deposits removed would have sidelined him for months if he   underwent the procedure during the season. Fantasy owners would feel a lot more confident about drafting him if he's ready in time for camp, but we'll be tracking his progress closely."
436,Washington Wizards,PG,1,Garrett Temple,,
437,Washington Wizards,PG,2,Ramon Sessions,,
438,Washington Wizards,SG,3,Bradley Beal,Bradley Beal is hoping to use the summer to get his troublesome right leg back to full strength.,"""I’m thinking of different methods, if I want to stick to the routine I’ve been on the  last couple years, if I want to start lifting more or lifting less, do more running. I definitely have to change my diet,"" Beal said. ""I’m very unique. Nobody else has this injury but me. It’s hard to reach out and research anybody else who has it and what they’ve done for it. It’s like I’m a guinea pig and just testing out things and see if they work or not. I trust the doctors."" Beal has developed a stress reaction in his lower right leg in four straight seasons, so he's going to be a risky pick in fantasy regardless of where he lands in restricted free agency."
439,Washington Wizards,SG,4,Marcus Thornton,,
440,Washington Wizards,SF,5,Otto Porter,"Coach Scott Brooks is a ""big believer"" in Otto Porter's potential, according to NBA.com's David Aldridge.","Interesting. Brooks got on fantasy owners' nerves at times for cutting down minutes on guys like Serge Ibaka. This is a good start for Porter after a mini-breakout in 2015-16. If he can be consistent and stay healthy, it's definitely possible for Porter to be an early-round value next season."
441,Washington Wizards,SF,6,Kelly Oubre,,
442,Washington Wizards,SF,7,Alan Anderson,,
443,Washington Wizards,SF,8,Jarell Eddie,,
444,Washington Wizards,PF,9,Markieff Morris,Markieff Morris (rest) will not play against the Hawks on Wednesday.,"A Wizards loss an a Jazz win would put the Wizards in the No. 12 spot in the lottery. Thanks to the Morris trade, the Wizards only have less than a three percent chance to keep their pick."
445,Washington Wizards,PF,10,Jared Dudley,,
446,Washington Wizards,PF,11,JJ Hickson,,
447,Washington Wizards,C,12,Marcin Gortat,,
448,Washington Wizards,C,13,Nene,,
449,Washington Wizards,C,14,Drew Gooden,,
